URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/100103352759915,Sanda Arip Rahman,andara.cell.kalidawir,2023-09-13,no,32138,Indonesian,no,2,1480
www.facebook.com/100103354974681,GIST WITH JENNY,,2023-08-24,no,7058,English,no,7,2133
www.facebook.com/100103362906405,Nelly Ann Encabo - Dejan,llyanne.encabo,2023-09-19,no,5179,English,no,5,843
www.facebook.com/100103436339767,Frenlin Guarino Gadian,frenlin,2023-04-27,no,17854,English,no,2,237
www.facebook.com/100103458420911,Gopika nair,gopuznair,2023-10-03,no,63675,Malayalam,no,9,4251
www.facebook.com/100103458497237,Hirimota Vlogs,Hiriksworld,2022-10-22,yes,44945,Bengali,no,0,9600
www.facebook.com/100103462991622,Shyamsuman JI,shyam.jiyadavshsu,2023-04-27,no,117314,English,no,41,1348
www.facebook.com/100103499663692,Vev Garbo Mentino,vevian.mentino.7,2023-07-11,no,11616,French,no,1,79
www.facebook.com/100103516258341,Saraswati Barman,saraswati.barman.988,2023-08-16,no,8631,Bengali,no,4,1419
www.facebook.com/100103529636801,Bpsaleem Bpsaleem,bpsaleem.bpsaleem,2023-02-25,no,57795,English,no,2,1172
www.facebook.com/100103542323746,Abdifitah Yuusuf Beereed,Fiyaat24,2023-10-05,no,40131,Somali,no,0,0
www.facebook.com/100103558905596,BlackBoss Gamer BBG,BlackBossCharly,2023-04-05,yes,248,Spanish,no,1,14
www.facebook.com/100103572475441,ਡਾ.ਬਖਸ਼ੀਸ਼ ਸਿੰਘ ਆਜ਼ਾਦ- TV,Dr.Bakhshish,2023-08-13,yes,38731,Punjabi,no,17,29262
www.facebook.com/100103579611974,Kamrul Hasan,kamrulhasanvlogs,2023-04-22,no,5291,English,no,0,0
www.facebook.com/100103586253986,Vandervelt Zambrano,tlevrednav.onarbmaz,2023-07-11,no,35969,English,no,10,162
www.facebook.com/100103588304827,RADYO TODO CAPIZ 97.7FM,radyotodocapiz97.7fm,2022-11-24,yes,108068,Tagalog,no,29,1313
www.facebook.com/100103589683436,Ashtyn Calhoun,,2023-09-10,no,10413,English,no,0,3895
www.facebook.com/100103649182853,Imran Maruf,imranmarufms,2023-08-14,no,10227,Bengali,no,0,0
www.facebook.com/100103668281913,Receitas Na Mão,receitasnamao,2023-04-23,no,234010,Portuguese,no,6,8456
www.facebook.com/100103763022952,بلدوزر Bldozer,Bldozer0,2023-09-11,no,5574,,no,2,3687
www.facebook.com/100103766247581,Mary Fe Gubal Salera,mary.gubalsalera,2023-07-24,no,15042,English,no,22,100
www.facebook.com/100103786268737,Alex Vega,Alexvega115,2023-08-10,no,17043,,no,4,270
www.facebook.com/100103799462302,HM Muslim tv,HMMuslimtv2,2023-10-03,yes,261767,Bengali,no,21,8007
www.facebook.com/100103829591776,Ashraful Islam Talukder,ashraful.islamtakukder,2023-04-18,no,5393,English,no,0,177
www.facebook.com/100103853088439,Jr Rivero,,2023-08-16,no,45458,English,no,2,727
www.facebook.com/100103854757663,Rexzilla,TheRexzilla,2020-03-26,yes,125306,English,yes,5,14395
www.facebook.com/100103905439722,A nice time with anshad nazar,anshad5500,2023-04-23,no,329874,Malayalam,no,1,6636
www.facebook.com/100103908851057,African Bush Kingdom,AfricanBushKingdom,2023-08-23,no,685559,English,no,82,10137
www.facebook.com/100103912973118,Moubani Bera,,2023-09-26,no,28663,English,no,5,830
www.facebook.com/100103932937776,Arun Borewell Point,,2023-07-11,no,83081,English,no,0,8709
www.facebook.com/100103935182073,农村大乔,,2023-06-15,no,11128,Chinese,no,1,7235
www.facebook.com/100103944942576,Doaba news 24,doabanews24,2023-07-24,no,11009,Punjabi,no,10,2602
www.facebook.com/100103979516193,ป๊อกกะหนิง สไตล์อีสาน,,2022-10-04,yes,55958,Thai,no,10,21574
www.facebook.com/100103986069923,قراءه تاروت,ghada27khaled,2023-08-31,no,10437,Arabic,no,3,572
www.facebook.com/100103996309750,Abdo Rahim,,2023-09-10,no,5395,Arabic,no,0,0
www.facebook.com/100103998349418,Doctor Hazhar,Hazhar.S.Khalid,2023-04-16,no,116731,Central Kurdish (Sorani),no,0,3665
www.facebook.com/100103999591748,Btissame Sadoul,btissame.sadoul,2023-04-22,no,252843,Arabic,no,2,154992
www.facebook.com/100104021634824,Ninarca +18,,2023-07-05,no,41478,Indonesian,no,32,6408
www.facebook.com/100104029303132,Genoside,,2023-07-11,no,5036,Indonesian,no,0,0
www.facebook.com/100104035909184,Ksaqueños 503,ksaquenos503,2023-02-13,no,22918,Spanish,no,1,11838
www.facebook.com/100104088608778,Sammythevlog,sammythevlog,2023-09-10,no,6801,Hindi,no,0,0
www.facebook.com/100104109573226,Ariful Islam Mridul,md.mridul.583,2023-08-28,no,11230,English,no,0,231
www.facebook.com/100104109633213,Shai Anasor,shaniarosana,2023-09-27,no,6060,English,no,1,85
www.facebook.com/100104169609322,Don Diego,musiclover.vlogs,2023-07-11,no,6283,English,no,4,193
www.facebook.com/100104182283862,ตำตุ๊ปุ๊ แบรนด์ต้นตำรับ,RANTUMTUPU,2023-09-13,no,21276,Thai,no,5,640
www.facebook.com/100104186220148,Maria N Will,Wmnm.Henry,2023-08-26,no,6237,English,no,1,439
www.facebook.com/100104189289162,Cia afo,,2023-09-19,no,7556,Javanese,no,8,4069
www.facebook.com/100104192980050,David Marc,david.marc.549,2023-08-16,no,13273,Romanian,no,1,733
www.facebook.com/100104198100118,Eddy Siswanto,viralresep,2023-04-22,no,250223,Indonesian,no,1,3288
www.facebook.com/100104239653627,Zyjam Jan Luague,janice.tobis.5,2023-02-18,no,5689,English,no,1,121
www.facebook.com/100104275430366,Vlogging Hunk,VloggingHunk,2023-08-17,no,7497,English,no,0,5660
www.facebook.com/100104326345631,Daniel Vega Oficial,,2023-04-16,no,137716,,no,0,0
www.facebook.com/100104436254911,Baki Khan,,2023-01-13,no,10115,English,no,1,1727
www.facebook.com/100104446257566,Moynul Islam,,2023-09-10,no,5751,English,no,9,212
www.facebook.com/100104515680321,Dungcs Tv,,2023-06-29,no,14057,Tagalog,no,3,34742
www.facebook.com/100104518381013,Los Ly,loslyy,2022-10-01,no,71054,Spanish,no,0,0
